Data file: /home/fk1j/attas/aiaa_general/check_stall/stall_f623_qst01.cdf
44 Variables plus time, with 3001 values each

              T           AXCG           AYCG           AZCG          AYCKP          AZCKP           PRGX           QRGY           RRGZ            PHI            THE            PSI           ALCG           BECG         VTASCG           HQNH           PDOT           QDOT           RDOT          HRADIO          VCAS           DELV          IHTRM          N1T1L          N1T2R          DLC_L          DLC_R         DAIL_L         DAIL_R           DRUD           MACH            SAT          PSTAT            RHO          PHLAT          LALON           FN_L           FN_R         FUELUS         BETDOT             FW          ALDOT           FLAP         DSPL_L         DSPL_R
              s         M/S**2         M/S**2         M/S**2         M/S**2         M/S**2          DEG/S          DEG/S          DEG/S            DEG            DEG            DEG            DEG            DEG            M/S              M         DEG/S2         DEG/S2         DEG/S2              M            M/S            DEG            DEG        PROZENT        PROZENT            DEG            DEG            DEG            DEG            DEG             --             °K             PA          Kg/m3            DEG            DEG              N              N             KG          DEG/S             --          DEG/S            DEG            DEG            DEG

         0.0000       1.145436      0.0941775       -9.35899       0.116116       -9.30541     0.00624979      0.0053648    -0.00031412     -0.0307755      0.1171578       0.039021        5.16904      -0.793239       98.74842       5469.941      0.0076653      0.0255786     0.00010905       787.8696       77.27116      0.0320360    -0.02313045       83.26477       85.59144    -0.01480456    -0.01459798    -0.01525050     0.00144655    -0.01679713      0.3186875       249.8909       50956.00      0.7103676      0.9365433      0.1897073       10281.97       11068.86       1990.000      0.0752201   0.000000E+00      0.0999176     0.02187159    0.001501158    0.003365159
         0.0400       1.112311      0.1286614       -9.38265       0.140183       -9.32895     0.00553036      0.0053648    -0.00031412     -0.0307755      0.1171578       0.038925        5.19814      -0.782789       98.85477       5470.093      0.0076653      0.0255786     0.00010905       787.8696       77.27116      0.0320360    -0.02331874       83.57772       85.46095    -0.01508937    -0.01469812    -0.01413429     0.00031188    -0.01679713      0.3186875       249.8804       50956.00      0.7103972      0.9365433      0.1897073       10386.45       11021.54       1990.000     -0.0304073   0.000000E+00     -0.0074300     0.02187159    0.001501158    0.003365159
         0.0800       1.173829      0.1434405       -9.45363       0.260518       -9.37604     0.00696909      0.0068074    -0.00031412     -0.0306796      0.1170619       0.038925        5.18359      -0.814139       98.96112       5470.093      0.0076653      0.0255786     0.00010905       787.8696       77.27116      0.0327859    -0.02313045       83.49948       85.64363    -0.01484414    -0.01480992    -0.01376221     0.00087920    -0.01717156      0.3186875       249.8699       50956.00      0.7104270      0.9365463      0.1897073       10353.28       11073.80       1990.000      0.0048013   0.000000E+00     -0.0074300     0.02194927    0.001501158    0.003181994
         0.1200       1.088650      0.1828520       -9.66658       0.116116       -9.30541     0.00553036      0.0075288    -0.00031412     -0.0305837      0.1170619       0.038829        5.17388      -0.843204       98.85145       5470.093     -0.0194827     -0.0005948    -0.00049853       787.8696       77.27921      0.0324110    -0.02313045       83.44733       85.38266    -0.01494696    -0.01449784    -0.01432031     0.00106832    -0.01679713      0.3187500       249.8807       50956.00      0.7103963      0.9365463      0.1897073       10341.27       10997.39       1990.000      0.0112028   0.000000E+00     -0.0006066     0.02187159    0.001501158    0.003365159
         0.1600       1.135972      0.1779253       -9.40631       0.212384       -9.30541     0.00553036      0.0075288    -0.00031412     -0.0305837      0.1170619       0.038829        5.17934      -0.867479       98.84868       5470.246      0.0033569     -0.0145891    -0.00246148       787.8696       77.27921      0.0325984    -0.02303630       83.52556       85.53925    -0.01458714    -0.01469812    -0.01487842     0.00050098    -0.01717156      0.3187500       249.8810       50956.00      0.7103956      0.9365463      0.1897073       10368.94       11047.33       1990.000     -0.0360097   0.000000E+00      0.0024032     0.02187159    0.001501158    0.003181994
         0.2000       1.083917      0.1927044       -9.24069       0.092049       -9.32895     0.00624979      0.0060861    -0.00031412     -0.0304879      0.1169660       0.038829        5.18086      -0.885767       98.84535       5470.550      0.0073220     -0.0225882    -0.00299116       787.8696       77.27921      0.0327859    -0.02294216       83.49948       85.64363    -0.01494696    -0.01459798    -0.01469240     0.00144655    -0.01754594      0.3187500       249.8813       50956.00      0.7103946      0.9365493      0.1897073       10359.94       11080.71       1990.000     -0.0224063   0.000000E+00     -0.0014937     0.02187159    0.001501158    0.003365159
         0.2400       1.079185      0.2222636       -9.38265       0.164250       -9.21124     0.00624979      0.0039222    -0.00103199     -0.0303920      0.1169660       0.038733        5.17328      -0.896545       98.84757       5470.550      0.0063210     -0.0156724     0.00001246       787.8696       77.28725      0.0324110    -0.02303630       83.52556       85.46095    -0.01480456    -0.01469812    -0.01543656     0.00220299    -0.01754594      0.3187500       249.8811       50956.00      0.7103953      0.9365493      0.1897073       10369.00       11022.50       1990.000     -0.0184053   0.000000E+00     -0.0034288     0.02187159    0.001501158    0.003365159
         0.2800       1.069721      0.1828520       -9.38265       0.260518       -9.35250     0.00696909      0.0060861    -0.00031412     -0.0302961      0.1169660       0.038733        5.16646      -0.898069       98.85034       5470.703     -0.0006619     -0.0032545     0.00298493       787.8696       77.28725      0.0322235    -0.02303630       83.52556       85.43485    -0.01484414    -0.01459798    -0.01636675     0.00333765    -0.01792037      0.3187500       249.8808       50956.00      0.7103961      0.9365493      0.1897073       10368.85       11014.05       1990.000      0.0376101   0.000000E+00     -0.0032801     0.02194927    0.001501158    0.003365159
         0.3200       1.173829      0.2567475       -9.38265       0.164250       -9.37604     0.00624979      0.0032009    -0.00031412     -0.0302003      0.1168702       0.038637        5.15844      -0.872694       98.81606       5470.703     -0.0082524      0.0011802     0.00196607       787.8696       77.28725      0.0329734    -0.02284801       83.23869       85.53925    -0.01494696    -0.01449784    -0.01673880     0.00333765    -0.01754594      0.3187500       249.8842       50956.00      0.7103865      0.9365523      0.1897073       10269.73       11049.12       1990.000      0.0112036   0.000000E+00     -0.0032054     0.02187159    0.001501158    0.003181994
         0.3600       1.145436      0.1680729       -9.42997       0.260518       -9.32895     0.00624979      0.0060861    -0.00031412     -0.0302003      0.1167743       0.038637        5.15234      -0.852577       98.85344       5470.855     -0.0149018      0.0023903    -0.00078518       787.8696       77.27921      0.0324110    -0.02313045       83.55164       85.66973    -0.01484414    -0.01449784    -0.01748297     0.00390500    -0.01792037      0.3187500       249.8805       50956.00      0.7103969      0.9365523      0.1897073       10377.87       11088.56       1990.000      0.0552149   0.000000E+00     -0.0021674     0.02194927    0.001685914    0.003181994
         0.4000       1.117043      0.2074835       -9.31167       0.188317       -9.25833     0.00553036      0.0053648    -0.00031412     -0.0300085      0.1167743       0.038541        5.14852      -0.833668       98.94998       5471.008     -0.0205284      0.0074104    -0.00329028       787.8696       77.27921      0.0327859    -0.02322459       83.55164       85.66973    -0.01470173    -0.01459798    -0.01915729     0.00579610    -0.01792037      0.3187500       249.8710       50956.00      0.7104239      0.9365523      0.1897073       10372.74       11083.27       1990.000     -0.0216061   0.000000E+00     -0.0012021     0.02187159    0.001501158    0.003365159
         0.4400       1.126508      0.2468951       -9.54828       0.164250       -9.25833     0.00409150      0.0046436    -0.00031412     -0.0300085      0.1166784       0.038541        5.14675      -0.819071       99.09721       5471.008     -0.0228748      0.0095236    -0.00570191       787.8696       77.27921      0.0327859    -0.02313045       83.39516       85.59144    -0.01458714    -0.01469812    -0.01971543     0.00636345    -0.01792037      0.3187500       249.9112       50956.00      0.7103097      0.9365523      0.1897103       10307.37       11048.03       1990.000     -0.0632170   0.000000E+00     -0.0002845     0.02187159    0.001501158    0.003181994
         0.4800       1.088650      0.1877787       -9.33533       0.212384       -9.32895     0.00265276      0.0060861    -0.00103199     -0.0299126      0.1166784       0.038445        5.14675      -0.815903       99.23031       5471.160     -0.0223577      0.0093939    -0.00677692       787.8696       77.27921      0.0325984    -0.02313045       83.49948       85.38266    -0.01470173    -0.01459798    -0.02027354     0.00693080    -0.01754594      0.3187500       249.8981       50956.00      0.7103471      0.9365523      0.1897103       10336.99       10974.40       1990.000      0.0784217   0.000000E+00     -0.0001232     0.02187159    0.001685914    0.003181994
         0.5200       1.107579      0.1877787       -9.00408       0.092049       -9.18770     0.00265276      0.0053648    -0.00103199     -0.0300085      0.1165826       0.038445        5.14598      -0.823806       99.27750       5471.465     -0.0201308      0.0062335    -0.00604731       787.8696       77.27921      0.0325984    -0.02303630       83.21262       85.40875    -0.01484414    -0.01449784    -0.02064562     0.00730902    -0.01754594      0.3187500       249.8934       50956.00      0.7103603      0.9365523      0.1897103       10233.65       10980.11       1990.000     -0.0720202   0.000000E+00     -0.0008471     0.02187159    0.001501158    0.003365159
         0.5600       1.074453      0.2321160       -9.47730       0.164250       -9.30541     0.00121391      0.0068074    -0.00174987     -0.0300085      0.1164867       0.038350        5.14288      -0.839025       99.24078       5471.465     -0.0179346      0.0005369    -0.00393567       787.8696       77.27921      0.0333484    -0.02303630       83.55164       85.59144    -0.01470173    -0.01459798    -0.02064562     0.00711989    -0.01754594      0.3187500       249.8970       50956.00      0.7103500      0.9365523      0.1897103       10354.77       11040.17       1990.000     -0.0064014   0.000000E+00     -0.0017373     0.02187159    0.001501158    0.003365159
         0.6000       1.107579      0.1877787       -9.26435       0.188317       -9.28187     0.00193334      0.0075288    -0.00174987     -0.0301044      0.1164867       0.038254        5.13843      -0.859533       99.11134       5471.617     -0.0160622     -0.0062465    -0.00165731       787.8696       77.27921      0.0329734    -0.02313045       83.49948       85.64363    -0.01484414    -0.01459798    -0.02064562     0.00768724    -0.01754594      0.3188125       249.9098       50956.00      0.7103137      0.9365553      0.1897103       10343.82       11064.41       1990.000      0.0296081   0.000000E+00     -0.0021080     0.02187159    0.001501158    0.003365159
