Date file: /home/fk1j/ib9503_04/test_case9_hfb/hfb320_10.cdf
19 Variables plus time, with 601 values each

              T           DELV           PDYN         THRUST          TASCG          ALFCG            THE              Q           QDOT           AXCG           AZCG           AYCG              P              R           PDOT           RDOT          BETCG            PHI           DAIL           DRUD
              S            RAD             PA              N            M/S            RAD            RAD          RAD/S         RAD/S2           M/S2           M/S2           M/S2          RAD/S          RAD/S         RAD/S2         RAD/S2            RAD            RAD            RAD            RAD

        0.00000    -0.00799120       4467.594       11548.70       106.0321      0.1117975      0.1054090    -0.00344005     -0.0060279       0.969580       -9.86526     -0.0744216     0.02896070    -0.02091264    -0.00346854     0.00000000    -0.00595480     0.02366995    -0.03850417    -0.01637254
        0.10000    -0.00799120       4464.112       11599.40       106.0767      0.1121886      0.1036377    -0.00412894     -0.0101899       0.964242       -9.75638     -0.0837960     0.02757331    -0.02091264    -0.04942587    -0.00116181    -0.00076498     0.02366995    -0.03869984    -0.01622349
        0.20000    -0.00799120       4464.112       11598.68       106.0332      0.1114942      0.1038149    -0.00533451     -0.0087547       0.935105       -9.80493     -0.0713951     0.01994265    -0.02091264    -0.05433956     0.00726136    -0.00177749     0.02833713    -0.03860201    -0.01602476
        0.30000    -0.00799120       4450.193       11598.68       106.0334      0.1101964      0.1038149    -0.00567896      0.0010046       0.936167       -9.77696     -0.1122367     0.01751472    -0.01951846    -0.02673626     0.01336087    -0.00046571     0.03041143    -0.03850417    -0.01567697
        0.40000    -0.00799120       4453.675       11598.68       106.0332      0.1097711      0.1023978    -0.00533451      0.0022963       0.955847       -9.65389     -0.0887971     0.01369939    -0.01847283    -0.04248893     0.01074677    -0.00058841     0.03248574    -0.03860201    -0.01577634
        0.50000    -0.00799120       4464.112       11608.68       106.0332      0.1097711      0.1023978    -0.00533451     -0.0005741       0.935984       -9.66720     -0.0918655     0.00971064    -0.01742720    -0.02572463     0.00580910     0.00042501     0.03248574    -0.03850417    -0.01567697
        0.60000    -0.00761981       4443.234       11608.68       106.0332      0.1097711      0.1020435    -0.00533451      0.0017222       0.946008       -9.77675     -0.1429819     0.00849667    -0.01707865    -0.00896027     0.01074681     0.00265839     0.03248574    -0.03830850    -0.01572666
        0.70000    -0.00799120       4450.193       11593.61       105.7240      0.1102636      0.1018665    -0.00499006      0.0043056       0.936504       -9.65322     -0.0788374     0.00676243    -0.01533594    -0.04523470     0.01277997     0.00296902     0.03248574    -0.03830850    -0.01557761
        0.80000    -0.00761981       4450.193       11593.61       105.7238      0.1116765      0.1009808    -0.00464561      0.0005741       0.965411       -9.85077     -0.1295063     0.00086601    -0.01463885    -0.01705338     0.00871361     0.00887975     0.03300431    -0.03791717    -0.01537887
        0.90000    -0.00780551       4471.071       11619.40       106.0772      0.1134815      0.1004494    -0.00499006     -0.0060278       0.945124       -9.85311     -0.2239467     0.00294710    -0.01324467    -0.00404661     0.01975083     0.01329601     0.03248574    -0.03811284    -0.01522983
        1.00000    -0.00724842       4495.427       11588.70       106.0336      0.1142977      0.0999180    -0.00602341     -0.0198058       0.928939       -9.80897     -0.1785880    -0.00156192    -0.01080486    -0.06098742     0.02672175     0.00767243     0.03248574    -0.03791717    -0.01537887
        1.10000    -0.00724842       4491.949       11619.43       106.0793      0.1131051      0.0997409    -0.00877899     -0.0310003       0.913053       -9.59224     -0.1569664    -0.00780519    -0.00836505    -0.05448407     0.01394180     0.01292168     0.03248574    -0.03801500    -0.01522983
        1.20000    -0.00724842       4478.030       11599.47       106.0807      0.1109127      0.0981467    -0.01119013     -0.0011481       0.887038       -9.26284     -0.1842175    -0.01196736    -0.00766797    -0.03136090     0.01655587     0.01315637     0.03041143    -0.03791717    -0.01522983
        1.30000    -0.00724842       4464.112       11599.44       106.0795      0.1075569      0.0967297    -0.00912344      0.0229632       0.870117       -9.20523     -0.1680249    -0.01491557    -0.00487961    -0.04942587     0.02672170     0.01018618     0.02781855    -0.03791717    -0.01527951
